ลำดับ,ชื่อผู้ประกอบการ,ทุนจดทะเบียน,จังหวัด,อำเภอ
1,กรุงเทพมหกิจ,"15,000,000",ระนอง,เมืองระนอง
2,กรุงไทยอาหาร,"400,000,000",กรุงเทพมหานคร,เขตจอมทอง
3,ขันติชัยปลาป่น,"1,000,000",สมุทรสงคราม,เมืองสมุทรสงคราม
4,คลองใหญ่ปลาป่น,"5,000,000",ตราด,คลองใหญ่
5,คลาสสิคเพ็ท,"4,000,000",สมุทรปราการ,เมืองสมุทรปราการ
6,คอร์น ทรานสปอร์ต (2018),"1,000,000",กาญจนบุรี,ท่ามะกา
7,คิงส์สเตลล่า แลบบอราทอรี่,"50,000,000",สมุทรปราการ,บางบ่อ
8,ชัยขจรฟาร์ม,"1,000,000",นครพนม,เมืองนครพนม
9,ชัยภูมิฟาร์มผลิตภัณฑ์การเกษตร,"40,000,000",ชัยภูมิ,เมืองชัยภูมิ
10,ซินซุย (ประเทศไทย),"2,000,000",ปทุมธานี,ลำลูกกา
11,ซี.เอ็ม.พี. กรุ๊ป 39,"1,000,000",กรุงเทพมหานคร,เขตลาดกระบัง
12,ซีเซียร์ เพ็ทเวิลด์,"1,000,000",ชลบุรี,บางละมุง
13,ณัฐรุ่งโรจน์ ฟีดมิลล์,"2,000,000",เชียงใหม่,สันป่าตอง
14,ดับบลิว แอนด์ เอ โกรว์อิ้ง,"300,000",ลพบุรี,เมืองลพบุรี
15,ดี.เค. การเกษตร (2019),"1,000,000",ราชบุรี,โพธาราม
16,ตราด กรีน วิชั่นส์,"1,000,000",ตราด,เมืองตราด
17,ถั่วทอง 2020,"5,000,000",นครปฐม,เมืองนครปฐม
18,ทวิภัทร โฮล์ดิ้ง,"1,000,000",กรุงเทพมหานคร,เขตตลิ่งชัน
19,ทวีลาภปลาป่น,"100,000",กรุงเทพมหานคร,เขตคันนายาว
20,ทีซีเอฟ,"120,000,000",สงขลา,หาดใหญ่
21,ธนโชค ออยล์ ไลท์,"50,000,000",สมุทรสาคร,กระทุ่มแบน
22,ธันเดอร์ กูดส์,"1,000,000",นนทบุรี,ปากเกร็ด
23,นาวาร์ช เพ็ท โปรดักส์ (ประเทศไทย),"1,000,000",กรุงเทพมหานคร,เขตบางบอน
24,นำโชค 888,"5,000,000",ลพบุรี,พัฒนานิคม
25,นิวทริชั่น เอ็กซ์พี,"300,000",ราชบุรี,บางแพ
26,นิวเวิลด์ แอดวานซ์ ไบโอเทค,"2,000,000",ปราจีนบุรี,เมืองปราจีนบุรี
27,นูทริกซ์,"110,000,000",กรุงเทพมหานคร,เขตมีนบุรี
28,บลู เบอร์ลิน,"1,000,000",นนทบุรี,บางกรวย
29,บลูฟาโล่,"200,000,000",นครปฐม,เมืองนครปฐม
30,บัวผัน อาหารสัตว์,"1,000,000",สระบุรี,มวกเหล็ก
31,บางซื่อพาณิชย์ 2019,"3,000,000",กรุงเทพมหานคร,เขตบางซื่อ
32,บานาปัตตานี,"47,000,000",ปัตตานี,เมืองปัตตานี
33,บ้านไผ่ราชาอาหารสัตว์,"1,000,000",ขอนแก่น,บ้านไผ่
34,บีเคเค โปรดักชั่น,"1,000,000",กรุงเทพมหานคร,เขตวังทองหลาง
35,ปลาทองอุตสาหกรรม,"50,000,000",ระนอง,เมืองระนอง
36,ป๋ออ้ายเฟิง ไบโอเทคโนโลยี (ไทยแลนด์),"160,000,000",ระยอง,ปลวกแดง
37,ปัตตานีปลาป่น(1988),"42,000,000",ปัตตานี,เมืองปัตตานี
38,ปัทมาอาหารสัตว์,"1,000,000",ลพบุรี,โคกเจริญ
